snapshot,chennai_north_solar,chennai_north_wind,chennai_south_solar,chennai_south_wind,coimbatore_solar,coimbatore_wind,erode_solar,erode_wind,madurai_solar,madurai_wind,tirunelveli_solar,tirunelveli_wind,trichy_solar,trichy_wind,vellore_solar,vellore_wind,villupuram_solar,villupuram_wind
2025-04-01 00:00:00,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819
2025-04-01 01:00:00,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492
2025-04-01 02:00:00,0.0,0.1832033681803159,0.0,0.1832033681803159,0.0,0.1832033681803159,0.0,0.1832033681803159,0.0,0.1832033681803159,0.0,0.1832033681803159,0.0,0.1832033681803159,0.0,0.1832033681803159,0.0,0.1832033681803159
2025-04-01 03:00:00,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492,0.0,0.1821357094536492
2025-04-01 04:00:00,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819,0.0,0.1790054924514819
2025-04-01 05:00:00,0.0,0.1740260362895836,0.0,0.1740260362895836,0.0,0.1740260362895836,0.0,0.1740260362895836,0.0,0.1740260362895836,0.0,0.1740260362895836,0.0,0.1740260362895836,0.0,0.1740260362895836,0.0,0.1740260362895836
2025-04-01 06:00:00,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472,0.09157378206562795,0.1675366826764472
2025-04-01 07:00:00,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441,0.24477797181167016,0.1599796703366441
2025-04-01 08:00:00,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786,0.38170955192162304,0.1518699971725786
2025-04-01 09:00:00,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513,0.4932654395752055,0.143760324008513
